# Time;cameraId;LookX;LookY;LookZ;GetImage;Channel
0;1;461182.9891763906;4660068.928941817;0.011177845792670537;1;rgb|ir
16;1;461183.0223918907;4660069.081611214;-0.01497643283488396;0;rgb|ir
32;1;461182.9894705641;4660069.055067276;0.032811591152238674;0;rgb|ir
48;1;461182.8926073237;4660069.059658666;0.014701733301608705;0;rgb|ir
64;1;461183.053379818;4660069.072783926;-0.05435812451824166;0;rgb|ir
80;1;461182.90614947444;4660068.992307471;-0.06444655534758013;0;rgb|ir
96;1;461182.9446722848;4660069.012657568;0.06687340755186134;0;rgb|ir
112;1;461182.96701090655;4660069.012067349;-0.09571329756922188;0;rgb|ir
128;1;461182.9783338553;4660069.020819873;-0.023367843370204592;0;rgb|ir
144;1;461182.9136323145;4660068.933983876;0.026217005908274266;0;rgb|ir
160;1;461182.9202510326;4660069.027969501;-0.04593909371738267;0;rgb|ir
176;1;461183.0269958761;4660068.995677634;-0.038082011081778826;0;rgb|ir
192;1;461183.0222981644;4660069.001068668;-0.07839791165066738;0;rgb|ir
208;1;461182.9659722924;4660069.11604385;-0.009357124930145655;0;rgb|ir
224;1;461183.0169601203;4660069.057882121;0.028936190543523317;0;rgb|ir
240;1;461182.9565167081;4660069.0302617345;0.0748863977323939;0;rgb|ir
256;1;461183.0572021947;4660068.981337614;0.010760267274940444;0;rgb|ir
272;1;461182.96465958864;4660068.96990502;-0.05850060531008158;0;rgb|ir
288;1;461183.0188446727;4660069.025327161;0.01279153057402256;0;rgb|ir
304;1;461182.97262617195;4660068.944362011;0.02096442674330658;0;rgb|ir
320;1;461183.0136409448;4660068.961445951;0.017481416582782034;0;rgb|ir
336;1;461183.0933535604;4660069.06355259;-4.8713859121249984e-05;0;rgb|ir
352;1;461183.0760158038;4660068.942511894;0.04669957172224641;0;rgb|ir
368;1;461182.9602112552;4660069.024326337;-0.02835655956464436;0;rgb|ir
384;1;461183.0372109041;4660068.924015574;-0.06199041185941265;0;rgb|ir
400;1;461182.9923268044;4660069.02906837;0.049202293854772566;0;rgb|ir
416;1;461183.0088636096;4660069.013077867;0.013690887429985435;0;rgb|ir
432;1;461183.1093511922;4660069.0392441815;0.02776371612438889;0;rgb|ir
448;1;461183.0597607729;4660068.957154319;0.03532734348134196;0;rgb|ir
464;1;461182.99492444727;4660068.987610349;-0.06043174270317906;0;rgb|ir
480;1;461182.9293400776;4660069.021729368;0.008015806099762993;0;rgb|ir
496;1;461182.955698259;4660068.959341476;0.07655043145680593;0;rgb|ir
512;1;461183.0236504504;4660068.9360424075;-0.023041938198648432;0;rgb|ir
528;1;461183.01267274143;4660069.028295067;0.009101653573668142;0;rgb|ir
544;1;461183.08557433455;4660069.071236527;-0.0589989933289378;0;rgb|ir
560;1;461182.9899296213;4660068.980220879;-0.052723767116173104;0;rgb|ir
576;1;461182.992020576;4660069.048264714;-0.09463141039547796;0;rgb|ir
592;1;461183.01113553444;4660068.993631721;0.04884114280460535;0;rgb|ir
608;1;461183.07336533745;4660069.003363339;0.06420089487060508;0;rgb|ir
624;1;461182.9683854124;4660069.035333751;-0.006584050153012006;0;rgb|ir
640;1;461182.90492880606;4660069.042485384;0.031027986861787926;0;rgb|ir
656;1;461183.0772515587;4660068.969868174;0.04357200864122153;0;rgb|ir
672;1;461183.0771312081;4660068.986781072;-0.03348115266621653;0;rgb|ir
688;1;461182.9716766018;4660068.941382704;0.029331535657568943;0;rgb|ir
704;1;461182.94949049293;4660068.94158003;-0.050134369203492624;0;rgb|ir
720;1;461182.98610872304;4660069.01200246;0.04500622296187805;0;rgb|ir
736;1;461182.9629305191;4660068.982016691;-0.035642520065691276;0;rgb|ir
752;1;461183.02195389534;4660068.998252326;-0.022260889008169964;0;rgb|ir
768;1;461182.95958435733;4660069.001070743;0.02180197077737735;0;rgb|ir
784;1;461182.9128389545;4660069.001021455;0.036522733367886126;0;rgb|ir
800;1;461183.0081997143;4660068.94221821;0.02267720247918632;0;rgb|ir
816;1;461182.9800946154;4660068.968095578;0.05348477594311364;0;rgb|ir
832;1;461182.97524678387;4660068.951350946;0.06810796132678847;0;rgb|ir
848;1;461183.01149927895;4660069.00900392;-0.08755100933476428;0;rgb|ir
864;1;461182.96058659273;4660068.966502127;-0.012438638360151499;0;rgb|ir
880;1;461183.0494212167;4660069.016427543;-0.02303585127614246;0;rgb|ir
896;1;461182.98270449473;4660069.105708725;0.07470311556664946;0;rgb|ir
912;1;461183.00871225836;4660069.063646093;-0.037791209482110025;0;rgb|ir
928;1;461183.0119618985;4660068.966168544;0.05234483972778742;0;rgb|ir
944;1;461183.0352681854;4660068.979047674;-0.04762928591987866;0;rgb|ir
960;1;461183.0140961869;4660068.971746343;0.011854227140999202;0;rgb|ir
976;1;461183.0037344428;4660068.978063497;-0.13189559469914694;0;rgb|ir
992;1;461183.1202175917;4660068.98389973;0.023547177784869335;0;rgb|ir
1009;1;461182.96199459134;4660069.036988759;0.0027736459514984494;0;rgb|ir
1025;1;461183.013205227;4660068.970048401;-0.05990691430456041;0;rgb|ir
1041;1;461183.02050737344;4660068.951522673;-0.004588458487339471;0;rgb|ir
1057;1;461183.0094292936;4660069.012544254;-0.05249860803967529;0;rgb|ir
1073;1;461182.9854399691;4660068.947271819;0.042225888660416364;0;rgb|ir
1089;1;461183.1064795708;4660068.929437852;0.013149398617007644;0;rgb|ir
1105;1;461182.9878566935;4660068.945435708;0.041781504736583305;0;rgb|ir
1121;1;461182.9904569219;4660068.940300864;0.041422346463936666;0;rgb|ir
1137;1;461183.0040194849;4660068.999513787;0.03987893132846902;0;rgb|ir
1153;1;461183.00703964493;4660068.968720948;-0.0005386558149773189;0;rgb|ir
1169;1;461183.0342443788;4660068.977923552;0.010965186138009259;0;rgb|ir
1185;1;461182.95703228406;4660069.017285225;0.011104761368284633;0;rgb|ir
1201;1;461182.9637862788;4660068.934098094;-0.014369498158505549;0;rgb|ir
1217;1;461183.03401202074;4660068.972561096;0.11086229951253368;0;rgb|ir
1233;1;461182.94946176745;4660068.993092114;-0.040810464173873254;0;rgb|ir
1249;1;461183.0436131373;4660068.898918116;-0.04386993868872463;0;rgb|ir
1265;1;461183.0584839059;4660068.958327758;0.05096559423851615;0;rgb|ir
1281;1;461182.958371597;4660068.988512495;-0.07571940194921237;0;rgb|ir
1297;1;461182.97025486926;4660068.9709821055;-0.014295107515983126;0;rgb|ir
1313;1;461183.001728035;4660069.050812031;0.019129769331946662;0;rgb|ir
1329;1;461182.99934175523;4660068.987350162;-0.09283279018745891;0;rgb|ir
1345;1;461183.0989934126;4660069.083138634;-0.003706748420287949;0;rgb|ir
1361;1;461182.9387642766;4660069.092770349;0.09573893889350003;0;rgb|ir
1377;1;461182.88153554196;4660068.977220312;-0.08997958340893888;0;rgb|ir
1393;1;461182.9501691261;4660069.017637555;-0.10519566371973439;0;rgb|ir
1409;1;461182.90964008746;4660068.9731184365;0.0025781030983089703;0;rgb|ir
1425;1;461183.05596282636;4660069.025972939;-0.10745798367219905;0;rgb|ir
1441;1;461183.019579141;4660069.017944595;0.030324519185481066;0;rgb|ir
1457;1;461183.00925204466;4660068.9508403875;-0.046175881865620966;0;rgb|ir
1473;1;461182.9680892746;4660068.937109807;0.00305309706533129;0;rgb|ir
1489;1;461183.0491863618;4660069.070944858;0.01586687223600924;0;rgb|ir
1505;1;461182.9919281341;4660069.01332958;0.019108534773024224;0;rgb|ir
1521;1;461182.9517656601;4660068.987788164;-0.08132285880942253;0;rgb|ir
1537;1;461183.03735205054;4660068.950614701;-0.01054713317810943;0;rgb|ir
1553;1;461183.0245258551;4660068.973895103;-0.0619926681571523;0;rgb|ir
1569;1;461183.0508829034;4660069.028240448;-0.07650718041152847;0;rgb|ir
1585;1;461183.0497155865;4660069.004976328;-0.05506989733205664;0;rgb|ir
1601;1;461183.045329946;4660069.0099741835;0.006280040658675816;1;rgb|ir
1617;1;461182.9746582047;4660069.021785172;-0.009153458771536822;0;rgb|ir
1633;1;461183.0653519583;4660068.944374118;0.09756993331323716;0;rgb|ir
1649;1;461182.918455315;4660069.056903769;-0.021491762578084647;0;rgb|ir
1665;1;461182.98808005766;4660068.987668259;-0.045419883455692055;0;rgb|ir
1681;1;461182.9812012592;4660068.954012219;0.02689199685202234;0;rgb|ir
1697;1;461183.0408772626;4660069.024475687;-0.01978941254874185;0;rgb|ir
1713;1;461183.0824004654;4660069.005230942;-0.0067147293306889;0;rgb|ir
1729;1;461183.0366346999;4660069.037820611;-0.025966940738263347;0;rgb|ir
1745;1;461183.0880911008;4660069.029279388;0.04905731763539925;0;rgb|ir
1761;1;461183.07672412694;4660069.071322616;-0.04110169271803941;0;rgb|ir
1777;1;461183.0135626893;4660069.034857805;0.06991901531636718;0;rgb|ir
1793;1;461182.9621694898;4660069.115464911;-0.004841455460111121;0;rgb|ir
1809;1;461183.0230879456;4660069.029282786;0.12640483783340029;0;rgb|ir
1825;1;461183.0165789971;4660068.900910221;0.0295428518228256;0;rgb|ir
1841;1;461182.9793408122;4660069.016544454;-0.0650856941110728;0;rgb|ir
1857;1;461183.0274341508;4660069.06856243;0.04211208917561312;0;rgb|ir
1873;1;461183.04564067663;4660069.086444557;-0.04680825233013688;0;rgb|ir
1889;1;461183.07753092365;4660069.025689451;-0.06235624779146836;0;rgb|ir
1905;1;461182.98069563153;4660068.901118274;-0.006711877474296111;0;rgb|ir
1921;1;461183.0085531192;4660069.053337335;0.008945095850056916;0;rgb|ir
1937;1;461182.9594005839;4660068.91407356;-0.0474235319193662;0;rgb|ir
