# Time;cameraId;LookX;LookY;LookZ;GetImage;Channel
0;461183;4660069;0;1;rgb|ir
16;461183;4660069;0;0;rgb|ir
32;461183;4660069;0;0;rgb|ir
48;461183;4660069;0;0;rgb|ir
64;461183;4660069;0;0;rgb|ir
80;461183;4660069;0;0;rgb|ir
96;461183;4660069;0;0;rgb|ir
112;461183;4660069;0;0;rgb|ir
128;461183;4660069;0;0;rgb|ir
144;461183;4660069;0;0;rgb|ir
160;461183;4660069;0;0;rgb|ir
176;461183;4660069;0;0;rgb|ir
192;461183;4660069;0;0;rgb|ir
208;461183;4660069;0;0;rgb|ir
224;461183;4660069;0;0;rgb|ir
240;461183;4660069;0;0;rgb|ir
256;461183;4660069;0;0;rgb|ir
272;461183;4660069;0;0;rgb|ir
288;461183;4660069;0;0;rgb|ir
304;461183;4660069;0;0;rgb|ir
320;461183;4660069;0;0;rgb|ir
336;461183;4660069;0;0;rgb|ir
352;461183;4660069;0;0;rgb|ir
368;461183;4660069;0;0;rgb|ir
384;461183;4660069;0;0;rgb|ir
400;461183;4660069;0;0;rgb|ir
416;461183;4660069;0;0;rgb|ir
432;461183;4660069;0;0;rgb|ir
448;461183;4660069;0;0;rgb|ir
464;461183;4660069;0;0;rgb|ir
480;461183;4660069;0;0;rgb|ir
496;461183;4660069;0;0;rgb|ir
512;461183;4660069;0;0;rgb|ir
528;461183;4660069;0;0;rgb|ir
544;461183;4660069;0;0;rgb|ir
560;461183;4660069;0;0;rgb|ir
576;461183;4660069;0;0;rgb|ir
592;461183;4660069;0;0;rgb|ir
608;461183;4660069;0;0;rgb|ir
624;461183;4660069;0;0;rgb|ir
640;461183;4660069;0;0;rgb|ir
656;461183;4660069;0;0;rgb|ir
672;461183;4660069;0;0;rgb|ir
688;461183;4660069;0;0;rgb|ir
704;461183;4660069;0;0;rgb|ir
720;461183;4660069;0;0;rgb|ir
736;461183;4660069;0;0;rgb|ir
752;461183;4660069;0;0;rgb|ir
768;461183;4660069;0;0;rgb|ir
784;461183;4660069;0;0;rgb|ir
800;461183;4660069;0;0;rgb|ir
816;461183;4660069;0;0;rgb|ir
832;461183;4660069;0;0;rgb|ir
848;461183;4660069;0;0;rgb|ir
864;461183;4660069;0;0;rgb|ir
880;461183;4660069;0;0;rgb|ir
896;461183;4660069;0;0;rgb|ir
